week,spa,sb,sd,google_youtube,bing,google_without_youtube,others,fb-ig,twitter,tiktok,dsp,fincast,promotion,amazon search volume,google search index,amazon search index,sales_revenue,amz_search_without_keywords,amz_rev,dtc_rev,total_rev
2024/4/7,240032.42,27125.61,461.12,0,1856.84,37353.46,290.79,27896.8,5365.78,13041.58,62575.29,0,0,1973953,52,28.68857514,15159161.37,744700,8422514.553,267853.13,8690367.683
2024/4/14,239294.7,34041.34,784.58,0,1824.48,42090.61,397.33,56910.57,9358.11,26108.92,90540.01,0,0,1808062,48,25.79020648,17139935.9,758342,8814354.398,361200.21,9175554.608
2024/4/21,241275.17,37227.16,1101.04,0,1858.19,42797.74,356.55,31105.15,3068.39,34152.04,58203.15,0,0,1964597,50,28.52511156,16076125.87,743336,8402127.318,411732.47,8813859.788
2024/4/28,267082.47,37004.88,1016.04,0,1742.39,34613.75,585.34,21700.69,4629.55,73517.01,30510.19,104461.5531,0,1994717,45,29.05135388,15188587.76,718962,8465629,226967.9,8692596.9
2024/5/5,237333.97,38421.27,407.95,0,1448.46,29123.93,710.82,13945.28,6473.9,47171.23,61856.46,180228.6292,0,1827378,48,26.12768644,15148325.72,614555,8292130.28,260910,8553040.28
2024/5/12,277426.02,43705.6,600.78,0,1747.42,34874.11,805.69,20678.05,7480.9,138605.24,52234.67,176248.753,0,1562289,48,21.49617749,16212183.87,759364,9091854.3,329069.28,9420923.58
2024/5/19,298281.39,43749.72,707.65,0,2519.39,41787.99,715.51,29135.86,9854.4,66142.22,44987.84,136510.4378,0,1847620,55,26.48134504,16892183.02,790174,9269877.27,348543.46,9618420.73
2024/5/26,278111.01,40636.5,459.71,0,2846.91,53616.86,654.95,29943.86,16822.7,55818.59,54451.21,134798.7455,0,1925763,56,27.84662238,17817800.39,863923,9207151.88,321302.11,9528453.99
2024/6/2,238044.74,38942.16,365.21,47922.88,2316.68,42519.01,757.67,21786.61,15672.01,17568.81,61696.53,297825.5404,0,2236113,54,33.26891,17322233.15,793353,9007558.17,274964.16,9282522.33
2024/6/9,259490.57,41486.74,439.02,177329.76,1145.79,29344.73,737.26,38569.77,9217.43,10525.57,63059.75,169215.7072,0,2148066,57,31.73059468,17927031.94,823150,9557208.92,283500.4,9840709.32
2024/6/16,242335.96,40631.01,411.1,0,1016.6,26751.18,705.81,38737.69,7765.16,86373.92,56523,0,0,2028309,57,29.63825733,18021743.6,866952,9532292.35,313676.76,9845969.11
2024/6/23,236770.72,40654.45,307.11,0,951.41,26360.71,1015.4,23034.48,7525.51,6740.57,47045.95,0,0,2078533,54,30.51574717,16559241.33,801468,8935099.89,263663.21,9198763.1
2024/6/30,208972.02,38972.69,897.5,19449.49,1906.81,27083.85,758.45,23109.71,10119.89,4636.26,74620.68,0,0,2063128,55,30.24659834,15412330.43,832106,7808480.8,279159.89,8087640.69
2024/7/7,213248.14,39376.13,851.49,9042.39,1222.15,24157.01,663.42,23543.09,8941.84,27410.22,151557.88,0,0,2107449,67,31.02095377,18747823.54,919712,8274998.56,272777.54,8547776.1
2024/7/14,288386.95,54977.01,4492.08,16854.14,2372.59,31938.2,2960.43,101266.22,15863.43,12722.96,255972.21,0,1,2936413,81,45.50421859,43224359.46,1935257,22649109.63,393864.77,23042974.4
2024/7/21,182319.79,38341.01,591.02,4229.81,1633.07,23658.18,465.9,70865.01,7258.92,1445.87,67271.11,0,0,6055533,57,100,15325005.63,851718,8611992.85,197812.7,8809805.55
2024/7/28,194955.6,36055.92,1625.47,1327.73,1412.87,19157.86,397.53,40981.1,2972.42,2287.86,50482.45,0,0,2102942,51,30.94220961,16664960.83,791792,9082417.44,216289.23,9298706.67
2024/8/4,235832.02,42258.71,2980.8,5020.55,836.51,54043.9,30276.7,22089.95,2048.55,3022.06,41695.07,0,0,1972168,52,28.65738847,19318858.04,810792,9213311.46,591746.97,9805058.43
2024/8/11,293429.41,49860.87,6092.32,9667.19,733.48,40180.36,18869.01,42068.86,4286.34,1858.84,45252.67,0,0,2166513,57,32.0528919,19292372.31,891823,10383302.84,377891.05,10761193.89
2024/8/18,282470.84,47359.63,5839.17,8932.13,1105.69,48705.13,26178.13,49827.97,5621.55,12667.64,48305.12,0,0,2372436,57,35.65068063,18422987.76,851883,9761865.17,346389.51,10108254.68
2024/8/25,309947.37,46633.64,6467.11,18960.1,1710.21,49102.1,12838.61,59010.82,6061.43,3674.15,53258.74,0,0,2144324,53,31.66521624,19440515.62,858402,9623052.5,319773.03,9942825.53
2024/9/1,337094.13,49615.85,7190.26,15375.06,1808.55,34086.41,938.03,54430.88,7913.13,3873.9,57230.7,0,0,2444976,55,36.91806501,19185639.23,857132,9439587.95,369182.64,9808770.59
2024/9/8,397935.7,63485.33,7206.55,52473.59,1809.47,37713.29,474.99,65128.59,9559.79,4795.84,85979.04,0,0,2389277,59,35.94491857,19934371.68,931408,10585864.13,409242.61,10995106.74
