,week,spa_spend,sb_spend,sd_spend,google_youtube_spend,bing_spend,google_without_youtube_spend,fb-ig_spend,twitter_spend,tiktok_spend,dsp_spend,fincast_spend,spa_impressions,sb_impressions,sd_impressions,bing_impressions,google_youtube_impressions,google_without_youtube_impressions,fb-ig_impressions,twitter_impressions,tiktok_impressions,dsp_impressions,fincast_impressions,amazon_search_volume,google_search_index,promotion,amz_rev,dtc_rev,total_rev
85,2023-09-17,1113901.2,283462.81,34360.73,11226.57,1667.11,284799.8,394339.27,19059.05,30336.55,334598.03,0,226424707,35134663,9073818,435704,268320,20535100,42545003,7184319,6886020,59986332,0,3744847,41,0,33686150.52,2882382.86,36568533.38
86,2023-09-24,939314.15,260070.59,32588.81,12650.37,71332.05,413784.06,531889.9,43647.45,18848.21,400430.71,0,215730246,32640207,7848941,623544,15831474,34863492,56610377,15776990,6449575,71320900,0,3902571,41,0,32876511.52,3906207.344,36782718.86
87,2023-10-01,958116.42,297753.99,35476.23,13107.93,146411.67,424181.14,560484.55,45733.33,129923.7,537918.67,0,226546884,34344150,8982025,593871,39201191,40989088,57659492,16278334,25265834,103770296,0,3613137,39,0,28591496.01,3008508.823,31600004.84
88,2023-10-08,1628935.21,505105.3,78522.04,14402.98,164812.17,445621.18,813745.84,78630.48,241791.45,1125936.65,0,342136804,50649381,16492599,843885,23210287,37201135,79443599,37776506,46178961,168087514,0,7781244,45,1,74504647.53,4607574.094,79112221.63
89,2023-10-15,858080.69,271114.76,41722.4,12509.14,82954.1,306120.58,462110.37,22743.86,176676.26,455967.35,0,214025360,35173960,13004753,700713,8478831,17858465,49767068,9674249,40756055,58697398,0,3814849,42,0,27060546.54,2452671.889,29513218.43
90,2023-10-22,878299.2,280184.81,36591.24,10790.05,111316.82,282036.9,603605.44,22181.84,174824.92,463903.42,0,227227437,35687151,13400964,573848,11072446,74397937,68217366,7360475,29373467,61468854,0,3228572,43,0,28685260.92,2390681.787,31075942.71
91,2023-10-29,898987.44,288893.8,42895.37,8930.58,69806.65,286591.23,623921.11,21539.67,141347.37,365954.5,0,237895247,37227184,15015365,493075,15324463,17993729,65533772,8569268,14681946,41434809,0,3282418,43,0,30979462.03,3214142.268,34193604.3
92,2023-11-05,884162.61,298563.03,50306.1,14078.71,212435.01,365433.39,704707.44,20784.76,193374.29,499575.42,0,233173489,38949130,17872353,1824225,35153540,18271415,68046045,8423588,18281531,68119580,0,3458348,45,0,32729875.86,4370723.61,37100599.47
93,2023-11-12,1036627.42,333968.49,42232.96,19473.58,98486.77,500501.82,1076153.24,26045.74,292587.12,901493.53,0,254376875,43522349,10582736,1708772,12807298,32998288,82721744,17017391,27578056,154495588,0,4918377,49,1,52715083.89,8017378.154,60732462.04
94,2023-11-19,1542061.91,520625.08,78720.09,33404.4,8576.14,898892.1,1620355.43,81925.21,521793.67,1562974.39,0,436274388,57549245,11780398,2504326,1241220,43417196,95097364,46384519,51401637,255193491,0,8829450,66,1,114095230.7,12534074.61,126629305.3
95,2023-11-26,1024538.67,339542.25,53868.75,26005.63,9334.89,591843.98,695683.94,54862.75,242804.4,648049.63,0,323617755,44169204,15441759,1886296,1552550,31760979,50332450,31909863,24567801,110878215,0,6328123,58,1,66214896.25,7033609.338,73248505.59
96,2023-12-03,535987.68,171868.36,23107.19,14258.66,4068.64,271737.28,132283.26,32118.74,214623.35,308773.09,0,157683245,27580239,6976973,865485,944495,16150420,15309363,17909857,28042709,63744423,0,3538142,48,0,39092959.07,3061816.452,42154775.52
97,2023-12-10,551073.33,149450.66,17606.25,12259.3,5369.91,253061.51,278433.34,34964.8,538315.87,356975.67,0,157778812,24854965,5856776,607738,1068501,16296681,30335538,13678838,78629635,79209727,0,3693655,44,0,45766668.36,3257435.61,49024103.97
